2024/08/22 11:46:20 [error] 10776#20828: *5 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-login.php?redirect_to=http%3A%2F%2Fprojectnew.local%3A10022%2Fwp-admin%2F&reauth=1 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10020", host: "projectnew.local"
2024/08/22 11:46:20 [error] 10776#20828: *5 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-login.php?redirect_to=http%3A%2F%2Fprojectnew.local%3A10022%2Fwp-admin%2F&reauth=1 HTTP/1.0", upstream: "fastcgi://127.0.0.1:10021", host: "projectnew.local"
2024/08/31 15:26:55 [error] 9460#13192: *7917 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido&per_page=20&type=post&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:55 [error] 9460#13192: *7918 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido&per_page=20&type=term&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:55 [error] 9460#13192: *7919 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido&per_page=20&type=post-format&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:55 [error] 9460#13192: *7920 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?search=Veido&per_page=20&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:56 [error] 9460#13192: *7921 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20P&per_page=20&type=post&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:56 [error] 9460#13192: *7922 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20P&per_page=20&type=term&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:56 [error] 9460#13192: *7923 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20P&per_page=20&type=post-format&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:56 [error] 9460#13192: *7924 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?search=Veido%20P&per_page=20&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7925 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Pro&per_page=20&type=post&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7926 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Pro&per_page=20&type=term&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7927 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Pro&per_page=20&type=post-format&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7928 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?search=Veido%20Pro&per_page=20&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7929 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Proc&per_page=20&type=post&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7930 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Proc&per_page=20&type=term&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7931 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Proc&per_page=20&type=post-format&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:57 [error] 9460#13192: *7932 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?search=Veido%20Proc&per_page=20&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:58 [error] 9460#13192: *7933 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Proceduros&per_page=20&type=post&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:58 [error] 9460#13192: *7934 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Proceduros&per_page=20&type=term&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:58 [error] 9460#13192: *7935 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=Veido%20Proceduros&per_page=20&type=post-format&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:26:58 [error] 9460#13192: *7936 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media?search=Veido%20Proceduros&per_page=20&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
2024/08/31 15:27:03 [error] 9460#13192: *7937 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/search?search=&per_page=20&type=post&subtype=page&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "projectnew.local", referrer: "http://projectnew.local/wp-admin/site-editor.php?postType=wp_template&postId=twentytwentyfour%2F%2Fpage-no-title&canvas=edit"
